冷静,a
地址,n
引起,v
坚持,v
禁止,v
消息,n
填,v
正式,ad
温度,n
酸,n
广播,vn
肚子,n
伤心,n
按时,d
距离,n
坚持,v
耐心,a
个子,n
严格,ad
后悔,v
温度,n
直接,ad
重点,n
提醒,v
打折,v
成功,a
详细,ad
坚持,v
范围,n
逐渐,d
提前,v
挺,d
温度,n
有趣,a
任务,n
完全,ad
暂时,d
主意,n
导游,n
坚持,v
凉快,a
推迟,v
害羞,a
羡慕,v
温度,n
起来,v
差不多,l
安排,v
打针,v
报道,v
共同,d
坚持,v
国际,n
恐怕,d
精神,n
稍微,d
温度,n
工资,vn
大概,d
偶尔,d
支持,v
热闹,a
幸福,a
坚持,v
发展,vn
样子,n
国际,n
熟悉,v
温度,n
盒子,n
出发,v
好像,v
拉圆,nr
完全,ad
坚持,v
重点,n
饺子,n
样子,n
超过,v
温度,n
入口,ns
严重,a
整理,n
所有,b
往往,t
出差,v
坚持,v
意见,n
热闹,a
赶,v
页,m
温度,n
占,v
线,n
标准,n
挺,d
翻译,v
调查,vn
来自,v
坚持,v
方向,n
吃惊,a
粗心,a
正好,a
温度,n
知识,v
举办,v
交,v
区别,n
挂,v
回忆,v
坚持,v
举办,v
暂时,d
大概,d
流行,v
温度,n
困难,an
.,x
羡慕,v
公里,q
竟然,d
熟悉,v
推迟,v
坚持,v
响份,n
工资,vn
咸,ns
温度,n
超过,v
挺,d
到底,d
耐心,a
可是,c
恐怕,d
坚持,v
距离,n
引起,v
安排,v
轻,a
温度,n
广播,vn
页,m
.,m
凉快,a
随着,p
尝,v
春节,t
坚持,v
收拾,v
提醒,v
反映,v
陪,v
温度,n
堵车,v
来得及,v
肯定,v
